,0
book,price
22899483069,$ 7.37
16426233795,$ 33.27
30571085212,$ 9.95
30282669014,$ 3.00
8068292423,$ 17.50
30310726915,$ 2.99
941021824,$ 9.00
30699460396,$ 4.46
30740240668,$ 5.70
1189938012,$ 7.50
30465560756,$ 4.19
13518434237,$ 7.50
30306098271,$ 3.69
30549457625,$ 4.50
30698073958,$ 3.98
1229370967,$ 6.64
30341594685,$ 2.83
30645261991,$ 4.50
10345263742,$ 7.00
22413529671,$ 25.00
30740310873,$ 16.50
30308963798,$ 14.42
30337235707,$ 6.23
30738963155,$ 4.46
9126714053,$ 7.25
30598692738,$ 2.59
30643746337,$ 9.79
30137482110,$ 8.00
30713312479,$ 3.98
242855190,$ 1.50
30357111963,$ 20.00
30734270760,$ 3.93
30605454533,$ 15.00
1958318699,$ 17.89
1157901907,$ 4.00
30330554660,$ 7.54
30137479596,$ 8.00
22420042428,$ 5.00
30093652186,$ 4.00
30704187229,$ 5.57
12070838690,$ 13.27
30699581663,$ 6.94
30644930295,$ 4.07
30575717889,$ 25.00
30487942690,$ 3.74
30660208730,$ 2.99
30275929196,$ 3.24
30282667972,$ 15.00
22844627902,$ 2.00
30280716015,$ 3.69
3401872846,$ 104.16
1271852724,$ 5.00
30750290164,$ 5.99
22485404304,$ 4.98
30699607199,$ 3.98
10107176741,$ 30.00
20098125515,$ 22.50
30176097287,$ 12.95
30734675343,$ 3.25
10634213567,$ 20.00
947110148,$ 30.00
22414932201,$ 1.00
30733582226,$ 4.00
30110390901,NULL
30042015887,$ 1.00
30731166952,$ 12.00
30743799149,$ 5.57
30617590604,$ 3.02
30114331307,$ 10.00
30715374093,$ 9.24
30643303028,$ 3.98
60883878,$ 22.00
30631305067,$ 16.33
30737557303,$ 4.00
30697854779,$ 4.19
30604711648,$ 2.80
30667320412,$ 2.50
397777360,$ 7.00
30310723061,$ 3.50
30608592108,$ 6.06
19084570205,$ 8.99
18457810512,$ 10.00
1042246748,$ 7.50
1008300612,$ 5.75
544738311,$ 17.00
417289862,$ 8.75
30666177659,$ 5.79
316920310,$ 7.75
30540334680,$ 28.95
30137464447,$ 23.00
30441745879,$ 7.48
30709883822,$ 3.74
14883183389,$ 14.57
30731407417,$ 6.95
30162330579,$ 22.50
30605256010,$ 7.32
30551329046,$ 2.99
30217004123,$ 8.99
30291741798,$ 16.94
17116511336,$ 3.03
30725407017,$ 1.05
22848025857,$ 5.95
30588909382,$ 9.56
30747195415,$ 5.08
14831130684,$ 5.83
18310960596,$ 6.16
22745556192,$ 20.00
30699658999,$ 3.98
30563827866,$ 7.07
22903762228,$ 15.48
30687490095,$ 11.12
618303378,$ 25.00
30162462378,$ 4.00
30630089657,$ 7.96
30752042137,$ 7.37
30386094182,$ 3.29
30731341707,$ 5.69
30714634532,$ 1.10
22020197117,$ 4.00
30722054778,$ 3.24
22727220399,$ 3.95
30179160581,$ 3.50
30584466073,$ 4.00
30415063986,$ 9.95
30507064040,$ 11.50
30443504726,$ 6.49
30456229492,$ 5.50
30628477366,$ 8.98
30216667091,$ 28.90
30697579549,$ 5.45
7049342152,$ 20.00
30748028157,$ 5.43
30737598825,$ 4.00
30644182427,$ 3.80
30716645061,NULL
30632090035,NULL
19554743349,$ 32.10
30605374861,$ 3.84
18914649994,NULL
30697821225,$ 3.69
30739896116,$ 4.70
30137473213,$ 20.00
544088755,$ 20.00
19058327481,$ 4.97
30034628224,$ 5.99
30661074755,$ 9.42
30697385590,$ 3.80
14782003164,$ 15.80
30737382765,$ 4.00
30690847647,$ 4.19
401064296,$ 4.50
30576275144,$ 60.94
30266645941,$ 39.62
30406242111,$ 6.45
1020963208,$ 5.00
30270302005,$ 41.08
204909201,$ 67.58
30650027921,$ 5.99
30696513007,$ 6.45
8689789262,$ 15.00
30305787945,$ 3.98
30014215773,$ 6.49
30205422814,$ 2.00
30300354284,$ 3.80
30359715131,$ 19.95
30457662678,$ 4.19
30730221953,NULL
30688734352,$ 3.98
30583574832,$ 4.00
30266552600,$ 68.17
30697395354,$ 4.34
30172412570,$ 3.80
30310726934,$ 2.99
30137572140,$ 20.00
3982214550,$ 18.51
65620710,$ 12.50
30223844943,$ 4.00
30650031662,$ 4.98
30210700862,$ 3.69
30595274354,$ 3.80
30334965305,$ 3.63
30644603954,$ 21.00
30699584829,$ 23.51
30729683991,$ 5.50
81958212,$ 30.00
22392792244,$ 9.29
30422098003,$ 16.49
3608642811,$ 5.00
30267796990,$ 48.52
30598468844,$ 2.60
22579404968,$ 5.99
30137472012,$ 6.00
1309179668,$ 20.00
30327092146,$ 8.13
30744579236,$ 15.00
807199071,$ 11.43
30577516135,$ 3.80
30697669973,$ 3.98
758566061,$ 21.00
30210601584,$ 32.90
30707192131,$ 106.60
30743776479,$ 5.37
7197157986,$ 5.50
30137465364,$ 8.00
30508753623,$ 14.95
30137574958,$ 7.00
30303392962,$ 3.61
3205896145,$ 1.00
30137499062,$ 11.00
30137545936,$ 22.00
30613790640,$ 48.51
30743805448,$ 4.76
22620324936,$ 4.49
30623449786,$ 13.33
30082118437,NULL
30139051885,$ 3.69
15187076054,$ 25.00
22649162019,$ 17.00
72217938,$ 13.50
22851285250,$ 22.50
5537434218,$ 10.55
30650044176,$ 4.19
20538601532,$ 20.00
30698084609,$ 3.98
30738907487,$ 5.79
30714210676,$ 3.25
30029726828,$ 23.04
30626980066,NULL
30624126421,$ 3.80
30265297647,$ 42.86
30734750885,NULL
5634516588,$ 12.50
10990527575,$ 11.00
30005418875,$ 22.00
30583410323,$ 4.31
1291114339,$ 19.43
4666573473,$ 15.95
30733118237,$ 8.29
22660349164,$ 8.46
30163567950,$ 12.97
30662106251,$ 7.96
30137474197,$ 3.50
30436898962,$ 1.00
30722962571,$ 5.99
30239167897,$ 10.00
30335456922,$ 3.75
30660759432,$ 3.86
30740018960,$ 4.98
30210901893,$ 4.52
30708994987,$ 5.50
30664240926,$ 4.44
30699282992,$ 3.98
22381663271,$ 9.93
8451604478,$ 10.00
12419968416,$ 14.00
22596630447,$ 24.00
5467347098,$ 4.99
21848684869,$ 4.00
30255420066,$ 4.99
30741152302,$ 5.99
30323616542,$ 26.77
30662306246,$ 5.45
19574871268,$ 4.19
13975773140,$ 16.00
21839895179,$ 15.00
30398768741,$ 1.98
5709075621,$ 20.00
30721282214,$ 3.94
30697799943,$ 3.51
30738657319,$ 4.70
30496214371,$ 5.99
30718099993,$ 3.60
30080487732,$ 5.92
30137480266,$ 5.00
30419256332,NULL
30592234846,$ 14.99
2954452664,$ 18.14
30719433924,NULL
30434770218,$ 4.19
30137592729,$ 40.00
21578257415,$ 1.00
22899601986,$ 10.99
30739859784,$ 6.27
30694826649,$ 5.95
30718202130,NULL
30103571077,NULL
30584464273,$ 4.00
30705401355,$ 19.35
30748664923,$ 2.00
30577421289,$ 7.99
30739479439,$ 4.70
30663607141,$ 2.95
30303788662,$ 25.00
30716886268,$ 13.00
22812581449,$ 9.23
1189031272,$ 20.00
30739189760,$ 4.38
1308467866,$ 25.00
30621263646,$ 3.80
30669019502,$ 1.50
30663651446,$ 4.19
22414932200,$ 1.00
30266989674,$ 52.70
30667005728,NULL
30665046726,$ 5.99
1308458766,$ 20.51
30210811471,$ 4.52
30729075563,$ 28.40
30326194729,$ 22.22
30326985537,$ 1.00
30117074783,$ 1.88
30048438698,$ 9.91
30599596234,$ 8.24
14332901695,$ 8.00
30748468633,$ 5.67
30588992322,$ 4.11
30137481197,$ 7.00
30732531530,$ 5.40
30333858914,$ 13.43
22299303248,$ 10.00
16611516310,$ 5.23
30737329914,$ 4.00
30707495609,$ 8.48
30733198758,$ 5.85
30697795338,$ 3.51
30137474194,$ 6.00
30606266938,$ 2.79
30559377298,NULL
30279254168,$ 15.31
30737561394,$ 4.00
30702694325,$ 3.00
30705676271,$ 5.99
21348881529,$ 6.49
22877828723,$ 20.00
30434580952,$ 22.50
12606323899,$ 1.00
30575377469,$ 3.98
30425046635,$ 10.31
2992155501,$ 2.00
22520788031,$ 14.00
14913038423,$ 9.59
30537995294,$ 3.00
2826479,$ 6.00
30301890227,NULL
30647105673,$ 9.06
30686914541,$ 4.32
30628547573,$ 41.30
30625159988,$ 20.00
30310713855,$ 2.99
30702935616,$ 5.87
30219171266,$ 239.70
912915344,$ 18.00
30080039525,$ 20.00
30313195870,$ 10.98
30665862953,$ 30.46
30738493108,$ 4.70
30732941584,$ 4.82
30590031362,$ 19.00
14781989509,$ 20.40
30699290334,$ 14.35
30742721254,$ 3.61
30258273083,$ 6.64
