book,publisher
30740332284,
22561590994,"Futura Publications, London"
30262334579,Kalpaz Publications
30645418748,"S. W. Tilton & Co., Boston"
30744590446,Stemmer House Publishers
30519830708,Modern Pub
19559446,Doubleday. (1966).
30690941775,Penguin Books
7195463142,Belmont January 1967
30584465208,Belmont Books
30632190818,Quirk Books
30699596227,Belmont Books
30336147779,Rinehart and Company
20561629548,Ballantine
30560237127,Random House
3065816212,Dover
22665761594,"Berkley Books Pub, Canada"
30711911351,Penguin Books
12989079999,Ace
30744100669,Broadview Press
7204212085,Hallmark Editions
20763549628,Mayflower
30315259206,Ace
30618449371,Dover
21838804627,The Magazine of Fantasy and Science Fiction
30575376123,HarperCollins
22903497230,
30657354415,SeaStar Books
30327696752,
20167376980,
30127701519,"Thomas Y Crowell Co, New York, NY"
30331824529,COLOFON
30350286961,
22643675978,"Thomas Y Crowell, Publishers"
30739281775,Penguin Publishing Group
208647507,"Sampson Low, Marston, Searle & Rivington, Ltd"
30699636526,"Rinehart & Co., Inc."
30718304854,Del Rey
401064106,
30038764305,Ace
30699107842,Dover
30614464357,
30444237425,"Better Publications, New York, Ny,"
30278214662,
744381506,"HOLT, RINEHART & WINSTON"
3486692753,Pocket Books New York 1958
30699607140,Watermill Press
30739909979,Penguin Publishing Group
30171796156,Harcourt
30688491824,Penguin Classics
30407664192,"Random House, Inc."
936183263,"Berkley, New York"
30603251266,"Funk & Wagnalls Co Pub, NY"
22618053029,"Fawcett Gold Medal, Greenwich, Conn."
14781987053,"Ziff-Davis Publishing Company, Chicago"
22790827045,"Farrar & Rinehart, New York"
30718198751,"George Allen & Unwin, London"
30097124362,Union Library Association
16933703021,"Dell, New York, New Yorik"
30573253743,
22912234499,Ace
30573818208,
22844622385,"Little, Brown"
30733482713,Routledge
30708525922,Peerage Books
30663995331,Marvel
18592289238,"A LAUREL CLASSIC, NEW YORK"
30427437327,Dover
30738820534,
30120915052,"Dodd, Mead"
30451867865,Back Bay Books
30617153652,Modern Library
30279070323,Tudor Publishing Co.
30557455949,
332500200,New York: Belmont Tower Book # 50244 1st Printing
30644524153,Tom Doherty Associates
22574614745,"Ultimate Publishing, NY"
18817841822,New York
988184408,"David McKay Co., Philadelphia"
22832596608,"Vision Books, Farrar, Strauss"
17224495014,"Mycroft & Moran,, Sauk City:"
30396297462,Harcourt
20836404026,Ballantine
8750025355,"Hyperion, Westport CT"
30035583277,"Hallmark Editions, Hallmark Editions"
372101494,"N.Y.: Bantam, 1979, N.Y."
30252606551,Ballantine
30731346808,Barnes & Noble
30699465836,Disney Editions
30665810940,"Anchor Books/Doubleday & Co., Inc., Garden City"
22849748471,"Scholastic Book Services., USA"
30548474487,Scholastic Ed
30265798621,
15214784236,Bantam
30455557752,Ace
30517743453,Futura
30137470431,Ace
30697802744,Ace
14624563746,Ace
30733433437,Running Press
17841460782,"Arkham House, Sauk City, Wisconsin"
30699590849,Scholastic Book Services
30656595127,Del Rey
22414932296,Berkley Medallion
30651729029,Cliffs Notes
5467327846,Ballantine
30650143310,Ace
174123078,The World Publishing Co.
30231752057,Pan
30210813419,Ace
30359727277,Ballantine
1428828955,Ace
22396068331,Garden City Books
30734269861,Penguin Classics
30708388698,Usborne Pub Ltd
21435012672,"J. E. Tilton and Co., Boston"
30264424954,Fontamara
30271636535,
30619188959,
21989645123,"Ultimate Publishing, NY"
5709075622,"Better Publications, NY"
30580856790,"Mercury Press, NY"
30727955385,Dalmatian Pr
30722925006,Dover
30109825679,Laurel
30577466750,Puffin
30739039039,Penguin Publishing Group
10634213556,"Ziff Davis, NY"
30724454461,"Edinburgh: Printed for Constable., 1827."
22543314165,"Avon Books., New York, NY, USA."
22413816038,British Museum (reprint)
6281847943,Better
18356462011,Harper&Row
30305435577,"Indianola, IA"
30734728448,Pocket
30709735179,Ballantine
30697328697,Del Rey
30738960471,
30699286058,Putnam
30689007217,Berkley
30046197905,Ballantine
30137477805,"Paperback Library. New York: Paperback Library, Inc."
14094264197,Harper and Brothers
30629068276,Palala Press
30731097466,Bantam Classics
30607332863,SparkNotes
22862772844,Manor Books
30724603773,Bantam Classics
30230904477,Farrar Straus 1955 First Edition First Printing?
30739713862,"Penguin Books, Limited"
30728260211,Barnes & Noble Classics
30049240809,Del Rey
30688945248,Wordsworth Editions
30669033753,Berkley
30650033577,Dell
30012150326,International Collectors Library
1157181464,Pocket Books
30602639459,"Duell, Sloan and Pearce, New York, NY"
30264450895,Dell
30737581156,
2845020490,"Belmont Books, United States"
30669039982,Ballantine
30343910155,Ace
22773182451,"Galaxy, NY"
18584675456,"Signet, NY"
22899483069,Dell
16426233795,OPTA
30571085212,"Garden City Pub Co, Garden City, New York"
30282669014,Berkley G-249
8068292423,"CHILTON CO., PHILADELPHIA, PA."
30310726915,Ballantine
941021824,Ballantine
30699460396,SparkNotes
30740240668,"Random House, Incorporated 16"
1189938012,"The Heritage Press, NY"
30465560756,Avon
13518434237,"Daw Books, Inc."
30306098271,"Avon, New York"
30549457625,Berkley
30698073958,Dover
1229370967,"Bantam Books, New York"
30341594685,
30645261991,Ace
10345263742,"Doubleday & Co., Garden City, NY"
22413529671,British Museum (reprint)
30740310873,HarperCollins Publishers
30308963798,Harvard University Press
30337235707,Bantam Books
30738963155,
9126714053,"Atheneum, NY"
