,book,language
746,30415063986,English
747,30507064040,English
748,30443504726,English
749,30456229492,English
750,30628477366,English
751,30216667091,English
752,30697579549,English
753,7049342152,English
754,30748028157,English
755,30737598825,English
756,30644182427,English
757,30716645061,English
758,30632090035,English
759,19554743349,English
760,30605374861,English
761,18914649994,English
762,30697821225,English
763,30739896116,English
764,30137473213,English
765,544088755,English
766,19058327481,English
767,30034628224,English
768,30661074755,English
769,30697385590,English
770,14782003164,English
771,30737382765,English
772,30690847647,English
773,401064296,English
774,30576275144,English
775,30266645941,English
776,30406242111,English
777,1020963208,English
778,30270302005,English
779,204909201,English
780,30650027921,English
781,30696513007,English
782,8689789262,English
783,30305787945,English
784,30014215773,English
785,30205422814,English
786,30300354284,English
787,30359715131,English
788,30457662678,English
789,30730221953,English
790,30688734352,English
791,30583574832,English
792,30266552600,English
793,30697395354,English
794,30172412570,English
795,30310726934,English
796,30137572140,English
797,3982214550,English
798,65620710,English
799,30223844943,English
800,30650031662,English
801,30210700862,English
802,30595274354,English
803,30334965305,French
804,30644603954,English
805,30699584829,English
806,30729683991,English
807,81958212,English
808,22392792244,English
809,30422098003,English
810,3608642811,English
811,30267796990,English
812,30598468844,English
813,22579404968,English
814,30137472012,English
815,1309179668,English
816,30327092146,English
817,30744579236,English
818,807199071,English
819,30577516135,English
820,30697669973,English
821,758566061,English
822,30210601584,English
823,30707192131,English
824,30743776479,English
825,7197157986,English
826,30137465364,English
827,30508753623,English
828,30137574958,English
829,30303392962,English
830,3205896145,English
831,30137499062,English
832,30137545936,English
833,30613790640,English
834,30743805448,English
835,22620324936,English
836,30623449786,English
837,30082118437,English
838,30139051885,English
839,15187076054,English
840,22649162019,English
841,72217938,English
842,22851285250,English
843,5537434218,English
844,30650044176,English
845,20538601532,English
846,30698084609,English
847,30738907487,English
848,30714210676,English
849,30029726828,English
850,30626980066,English
851,30624126421,English
852,30265297647,English
853,30734750885,English
854,5634516588,English
855,10990527575,English
856,30005418875,English
857,30583410323,English
858,1291114339,English
859,4666573473,English
860,30733118237,English
861,22660349164,English
862,30163567950,English
863,30662106251,English
864,30137474197,English
865,30436898962,English
866,30722962571,English
867,30239167897,English
868,30335456922,English
869,30660759432,English
870,30740018960,English
871,30210901893,English
872,30708994987,English
873,30664240926,English
874,30699282992,English
875,22381663271,English
876,8451604478,English
877,12419968416,English
878,22596630447,English
879,5467347098,English
880,21848684869,English
881,30255420066,English
882,30741152302,English
883,30323616542,English
884,30662306246,English
885,19574871268,English
886,13975773140,English
887,21839895179,English
888,30398768741,English
889,5709075621,English
890,30721282214,English
891,30697799943,English
892,30738657319,English
893,30496214371,English
894,30718099993,English
895,30080487732,English
896,30137480266,English
897,30419256332,English
898,30592234846,English
899,2954452664,English
900,30719433924,English
901,30434770218,English
902,30137592729,English
903,21578257415,English
904,22899601986,English
905,30739859784,English
906,30694826649,English
907,30718202130,English
908,30103571077,English
909,30584464273,English
910,30705401355,English
911,30748664923,English
912,30577421289,English
913,30739479439,English
914,30663607141,English
915,30303788662,English
916,30716886268,English
917,22812581449,English
918,1189031272,English
919,30739189760,English
920,1308467866,English
921,30621263646,English
922,30669019502,English
923,30663651446,English
924,22414932200,English
925,30266989674,English
926,30667005728,English
927,30665046726,English
928,1308458766,French
929,30210811471,English
930,30729075563,English
931,30326194729,English
932,30326985537,English
933,30117074783,English
934,30048438698,English
935,30599596234,English
936,14332901695,English
937,30748468633,English
938,30588992322,English
939,30137481197,English
940,30732531530,English
941,30333858914,English
