,0
book,JacketCondition
286376596,NULL
98082475,NULL
49589213,NULL
13230268,NULL
256397212,NULL
69200906,NULL
219241498,NULL
29114167,NULL
98082467,NULL
5789790,NULL
168057808,NULL
30609244214,NULL
30210916909,NULL
7293908898,good
30023429921,fair
12702053365,NULL
22785454198,NULL
30445868700,NULL
7952309667,NULL
30392267007,NULL
30699880571,NULL
30697725272,NULL
30546640181,NULL
30699531833,NULL
30029271136,NULL
2901541692,NULL
30714905951,NULL
30697823793,NULL
30525560004,NULL
30661878117,NULL
30554606994,NULL
30725941748,NULL
30137476391,NULL
30035584006,NULL
18785274997,good
30709522287,NULL
22506238390,NULL
13061662313,NULL
22696512710,NULL
30405474643,NULL
1417796350,NULL
30652742009,NULL
10058538700,NULL
30635514413,NULL
30258329221,NULL
30133940754,NULL
30738356447,NULL
30072916461,NULL
30035585485,NULL
12595774363,NULL
12595774315,NULL
316920310,NULL
30128412905,NULL
30366452793,NULL
2154647721,NULL
30604164320,NULL
30697754459,NULL
30623236685,NULL
30400586400,NULL
30704931019,NULL
30741940449,NULL
10855926950,NULL
30711823764,NULL
30531541197,NULL
30005420507,NULL
172778114,NULL
210090564,NULL
30612829502,NULL
30744974998,NULL
1308458766,NULL
22672235791,NULL
30210706854,NULL
30697778524,NULL
30699606950,NULL
30697805280,NULL
30740021376,NULL
30738657319,NULL
30733507733,NULL
30735793007,NULL
30281972595,NULL
30551096218,NULL
30705497395,NULL
30551091604,NULL
30551005794,NULL
14880271591,NULL
30551147917,NULL
30546360396,NULL
19142507232,NULL
22780996439,NULL
8334144665,NULL
30370378663,NULL
30466178294,NULL
22536083174,NULL
30149677692,NULL
30211073184,NULL
837170227,good
5553529966,very good
22642453987,NULL
2846955772,NULL
30733417970,NULL
30658750875,NULL
19197638509,NULL
22886427558,NULL
30716748263,NULL
30422007325,NULL
16874614484,NULL
30137486673,NULL
30137485788,NULL
30282659542,NULL
30282666007,NULL
22877616178,NULL
30611558768,NULL
30335880043,NULL
8570863275,NULL
30656807540,NULL
30210968389,NULL
30717116979,NULL
30667604154,NULL
30667005728,NULL
30722957322,NULL
21975745554,NULL
30717143448,NULL
30666012724,NULL
30195977936,NULL
30750277314,NULL
14813853276,NULL
30667600584,NULL
30725020633,NULL
30741504052,NULL
30617398212,NULL
30693201042,NULL
8186553039,NULL
30366545047,NULL
